competitor_name,website,country_or_region,business_type,active_status,product_categories,notable_products,pricing_examples,visible_payment_methods,checkout_flow_observed,account_or_access_required,COA_or_testing_signals,shipping_signals,refund_policy_signals,affiliate_program_visible,blog_or_SEO_strategy,risky_claims_observed,safer_positioning_observed,social_links,contact_email_public,contact_page,estimated_strength_score_1_to_10,risk_score_1_to_10,notes,sources
Core Peptides,corepeptides.com,USA,Research peptide seller,Active (as of 2026),Tissue/signaling peptides; GH secretagogues; GLP-1-adjacent; cosmetic,BPC-157; TB-500; CJC-1295; Ipamorelin; GHK-Cu; Semaglutide,BPC-157 5mg ~$39-49; TB-500 5mg ~$42-52; GHK-Cu 50mg ~$49-59; Semaglutide 5mg ~$89-109,"Credit cards, Venmo, Zelle, CashApp (per reviews)",Standard cart checkout,No (guest checkout typical),"cGMP claims; review sites cite testing — verify batch COAs",Free US shipping >$200; $9.95 flat; overnight $49.95,Not verified on-site,Email capture + seasonal promos,"Sells semaglutide; GLP-1 listing = elevated risk [OBSERVED]",RUO framing on catalog,Not fully verified,Not found (use contact page),Yes,7,7,"Launched ~2021; 78+ SKUs; mid-range pricing; GLP-1 SKUs raise risk",corepeptides.com; muscleandbrawn.com; peptidepick.com
SwissChems,swisschems.com,USA-facing,Research chemical + peptide + SARM + nootropic shop,"Active; FDA warning letter Dec 2024",Peptides; SARMs; nootropics; PCT; ancillaries,BPC-157; TB-500; CJC-1295; Ipamorelin; SARMs,Mid-to-high range (per reviews),"Crypto, cards (varies), e-check (per reviews)",Standard cart,No,"COAs on listings but sometimes must be requested; labs not always named; repeated COAs across batches reported",Ships US + intl,Refund-if-fails-3rd-party-test (reported),Yes (reported),Heavy SEO + affiliate review presence,"FDA warning letter Dec 2024 (RUO vs human-use)",Mixed,Instagram/others,support via site,Yes,6,8,"Broad catalog; named in Dec 2024 FDA warning letters; transparency gaps",peptidepick.com; muscleandbrawn.com; fda.gov
Cosmic Peptides,cosmicpeptides.com,USA,Research peptide seller,Active (newer entrant),Research peptides (signaling/cosmetic/GH),"BPC-157; TB-500; GHK-Cu; broad catalog",WELCOME15 = 15% off; competitive (per reviews),"Cards (varies), crypto likely [INFERENCE]",Shopify-style cart,No,">99% purity; independent 3rd-party HPLC + Mass Spec per batch (claimed)",Same-day ship if ordered before 2PM CST,Has Trustpilot reviews; refund terms on-site,Not verified,Purity/testing-led content,Lower overt human-use copy [OBSERVED],"Strong: purity + COA-led positioning",Trustpilot presence,via site,Yes,7,5,"Good model reference: documentation-first, clean storefront",cosmicpeptides.com; trustpilot.com
Lone Star Peptide Co.,lonestarpeptideco.com,USA (Houston TX),Research peptide seller,"Active (orders opened ~June 2026)",Research peptides,Triple-tested vials,Competitive (per site),"Cards (varies) [INFERENCE]",Standard cart,No,"≥99% purity; independently tested + triple-verified",Same-day Houston shipping,On-site terms,Not verified,Geographic/quality angle (Texas-grade),Low overt claims [OBSERVED],"Strong: purity + provenance positioning",Site links,via site,Not found,6,5,"Newer; provenance + testing narrative is a clean model",lonestarpeptideco.com
Biotech Peptides,biotechpeptides.com,USA,Research peptide seller,Active,Research peptides,BPC-157; TB-500; CJC/Ipamorelin,Competitive,"Credit cards accepted (advertised)",Standard cart,No,"Multiple rounds HPLC + mass spec (claimed)",US made; ships US,On-site,Not verified,"Research-lab framing in copy",Lower overt human-use copy [OBSERVED],"Research/lab positioning; ''for scientific research''",Site links,via site,Yes (contact),7,5,"Advertises card acceptance openly; research framing",biotechpeptides.com; outliyr.com
Amino Asylum,amino-asylum.com,USA,Research chemical + peptide + SARM shop,"Active but FDA-raided June 2025",Peptides; SARMs; nootropics,Wide catalog; low prices,"Crypto, e-check, cards (varies)",Standard cart,No,"Limited/inconsistent testing per reviews",Ships US,Mixed CS reviews,"Yes (20% off codes circulate)",Affiliate/coupon-driven,"Higher risk; raided",Weak,Trustpilot (mixed),via site,Yes,4,9,"Cautionary: FDA raid June 2025; testing + CS complaints",muscleandbrawn.com; trustpilot.com; sarmguide.com
ChemYo,chemyo.com,USA (Delaware),SARM + nootropic shop (some peptides),Active,SARMs; nootropics; some research compounds,SARMs; 9-Me-BC; coluracetam,Competitive,"Crypto, cards (varies), e-check",Standard cart,No,"All products 3rd-party tested; S&N Labs COAs cited",Ships US + intl,On-site,Not verified,Reputation/quality content,Lower (SARM-focused) [OBSERVED],"Transparency + 3rd-party testing reputation",Site links,via site,Not verified,7,6,"Strong reputation in SARM lane; testing transparency model",outliyr.com; chemyo.com
PureRawz,purerawz.co,USA-facing,Research chemical + novel compound shop,Active,Novel/hard-to-source research compounds; peptides; nootropics,Racetams; GABAergics; eugeroics; novel peptides,Varies,"Crypto, e-check, cards (varies)",Standard cart,No,"3rd-party testing claims",Ships US + intl,On-site,Yes (reported),Long-tail/novel-compound SEO,"Broad/novel catalog raises surface area",Mixed,Site links,via site,Not verified,6,7,"Best for novel compounds; breadth = risk",outliyr.com
Limitless Biotech (fmr Limitless Life Nootropics),limitlesslifenootropics.com,USA,Research peptide + nootropic seller,Active (rebranded),Peptides; nootropics,BPC-157; TB-500; GH secretagogues,Varies,"Crypto, cards (varies), e-check",Standard cart,No,"3rd-party COA per batch (claimed)",Ships US,On-site,"Yes — robust affiliate network (claimed)",Affiliate + expert-endorsement strategy,Mixed,"Batch COA + network positioning",Site links,via site,Yes,6,6,"Rebrand Life Nootropics -> Biotech; strong affiliate network",muscleandbrawn.com; limitlesslifenootropics.com
Sports Technology Labs,sportstechnologylabs.com,USA,SARM + peptide seller,Active,SARMs; research peptides,SARMs; BPC-157; TB-500,Competitive,"Crypto, cards (varies)",Standard cart,No,"3rd-party tested by accredited US lab; HPLC/MS; min 96% or 99% purity; COAs published",Fast US shipping,On-site,Not verified,Testing-transparency content,Lower overt human-use copy [OBSERVED],"Strong: accredited-lab COA publishing",Site links,via site,Yes (contact),7,5,"Good COA-publishing model reference",sportstechnologylabs.com
